"master_short","master_long","iso_3166_1_numeric","iso_3166_1_alpha_3","iso_3166_1","maddison_code","maddison_long","polity_scode","polity_country","empirenation_code","empirenation_country","wgi_country","cpi_country","wpfi_country","oecd_2020","oecd_2000","oecd_1961","continent"
"AFG","Afghanistan",4,"AFG","Afghanistan","AFG","Afghanistan","AFG","Afghanistan",700,"Afghanistan","Afghanistan","afghanistan","afghanistan",,,,"Asia"
"ALB","Albania",8,"ALB","Albania","ALB","Albania","ALB","Albania",339,"Albania","Albania","albania","albania",,,,"Europe"
"DZA","Algeria",12,"DZA","Algeria","DZA","Algeria","ALG","Algeria",615,"Algeria","Algeria","algeria","algeria",,,,"Africa"
"AGO","Angola",24,"AGO","Angola","AGO","Angola","ANG","Angola",540,"Angola","Angola","angola","angola",,,,"Africa"
"ARG","Argentina",32,"ARG","Argentina","ARG","Argentina","ARG","Argentina",160,"Argentina","Argentina","argentina","argentina",,,,"South America"
"ARM","Armenia",51,"ARM","Armenia","ARM","Armenia","ARM","Armenia",371,"Armenia","Armenia","armenia","armenia",,,,"Asia"
"AZE","Azerbaijan",31,"AZE","Azerbaijan","AZE","Azerbaijan","AZE","Azerbaijan",373,"Azerbaijan","Azerbaijan","azerbaijan","azerbaijan",,,,"Asia"
"BHS","Bahamas",44,"BHS","Bahamas",,,,,,,,"bahamas",,,,,"North America"
"BHR","Bahrain",48,"BHR","Bahrain","BHR","Bahrain","BAH","Bahrain",,,"Bahrain","bahrain","bahrain",,,,"Asia"
"BHR","Bahrain",48,"BHR","Bahrain","BHR","Bahrain","BAH","Bahrain",,,"Bahrain","bahrain","bahrein",,,,"Asia"
"BGD","Bangladesh",50,"BGD","Bangladesh","BGD","Bangladesh","BNG","Bangladesh",771,"Bangladesh","Bangladesh","bangladesh","bangladesh",,,,"Asia"
"BRB","Barbados",52,"BRB","Barbados","BRB","Barbados",,,,,,"barbados",,,,,"North America"
"BLR","Belarus",112,"BLR","Belarus","BLR","Belarus","BLR","Belarus",370,"Belarus","Belarus","belarus","belarus",,,,"Europe"
"BLZ","Belize",84,"BLZ","Belize",,,,,80,"Belize","Belize","belize","belize",,,,"North America"
"BEN","Benin",204,"BEN","Benin","BEN","Benin","BEN","Benin",434,"Benin","Benin","benin","benin",,,,"North America"
"BTN","Bhutan",64,"BTN","Bhutan",,,"BHU","Bhutan",760,"Bhutan","Bhutan","bhutan","bhutan",,,,"Asia"
"BOL","Bolivia",68,"BOL","Bolivia (Plurinational State of)","BOL","Bolivia (Plurinational State of)","BOL","Bolivia",145,"Bolivia","Bolivia","bolivia","bolivia",,,,"South America"
"BOL","Bolivia",68,"BOL","Bolivia (Plurinational State of)","BOL","Bolivia (Plurinational State of)","BOL","Bolivia",145,"Bolivia","Bolivia (Plurinational State of)","bolivia","bolivia",,,,"South America"
"BIH","Bosnia and Herzegovina",70,"BIH","Bosnia and Herzegovina","BIH","Bosnia and Herzegovina","BOS","Bosnia",346,"Bosnia and Herzegovina","Bosnia & Herzegovina","bosnia and herzegovina","bosnia-herzegovina",,,,"Europe"
"BIH","Bosnia and Herzegovina",70,"BIH","Bosnia and Herzegovina","BIH","Bosnia and Herzegovina","BOS","Bosnia",346,"Bosnia and Herzegovina","Bosnia and Herzegovina","bosnia and herzegovina","bosnia and herzegovina",,,,"Europe"
"BWA","Botswana",72,"BWA","Botswana","BWA","Botswana","BOT","Botswana",571,"Botswana","Botswana","botswana","botswana",,,,"Africa"
"BRA","Brazil",76,"BRA","Brazil","BRA","Brazil","BRA","Brazil",140,"Brazil","Brazil","brazil","brazil",,,,"South America"
"BRN","Brunei",96,"BRN","Brunei Darussalam",,,,,,,,"brunei","brunei",,,,"Asia"
"BRN","Brunei",96,"BRN","Brunei Darussalam",,,,,,,,"brunei darussalam","brunei darussalam",,,,"Asia"
"BGR","Bulgaria",100,"BGR","Bulgaria","BGR","Bulgaria","BUL","Bulgaria",355,"Bulgaria","Bulgaria","bulgaria","bulgaria",,,,"Europe"
"BFA","Burkina Faso",854,"BFA","Burkina Faso","BFA","Burkina Faso","BFO","Burkina Faso",439,"Burkina Faso","Burkina Faso","burkina faso","burkina faso",,,,"Africa"
"BDI","Burundi",108,"BDI","Burundi","BDI","Burundi","BUI","Burundi",516,"Burundi","Burundi","burundi","burundi",,,,"Africa"
"CPV","Cabo Verde",132,"CPV","Cabo Verde","CPV","Cabo Verde","CAP","Cape Verde",,,,"cabo verde","cabo verde",,,,"Africa"
"KHM","Cambodia",116,"KHM","Cambodia","KHM","Cambodia","CAM","Cambodia",811,"Cambodia","Cambodia","cambodia","cambodia",,,,"Asia"
"CMR","Cameroon",120,"CMR","Cameroon","CMR","Cameroon","CAO","Cameroon",471,"Cameroon","Cameroon","cameroon","cameroon",,,,"Africa"
"CPV","Cabo Verde",132,"CPV","Cabo Verde","CPV","Cabo Verde","CAP","Cape Verde",,,,"cape verde","cape verde",,,,"Africa"
"CAF","Central African Republic",140,"CAF","Central African Republic","CAF","Central African Republic","CEN","Central African Republic",482,"Central African Republic","Central Africa Republic","central african republic","central african",,,,"Africa"
"CAF","Central African Republic",140,"CAF","Central African Republic","CAF","Central African Republic","CEN","Central African Republic",482,"Central African Republic","Central African Republic","central african republic","central african republic",,,,"Africa"
"TCD","Chad",148,"TCD","Chad","TCD","Chad","CHA","Chad",483,"Chad","Chad","chad","chad",,,,"Africa"
"CHN","China",156,"CHN","China","CHN","China","CHN","China",710,"China","China","china","china",,,,"Asia"
"COL","Colombia",170,"COL","Colombia","COL","Colombia","COL","Colombia",100,"Colombia","Columbia","colombia","colombia",,,,"South America"
"COM","Comoros",174,"COM","Comoros","COM","Comoros","COM","Comoros",,,"Comoros","comoros","comoros",,,,"Africa"
"COG","Congo-Brazzaville",178,"COG","Congo","COG","Congo","CON","Congo Brazzaville",484,"Congo","Congo","congo-brazzaville","congo-brazzaville",,,,"Africa"
"COG","Congo-Brazzaville",178,"COG","Congo","COG","Congo","CON","Congo Brazzaville",484,"Congo","Congo (Brazzaville)","congo-brazzaville","democratic republic congo",,,,"Africa"
"COG","Congo-Brazzaville",178,"COG","Congo","COG","Congo","CON","Congo Brazzaville",484,"Congo","Republic of Congo (Brazzaville)","congo-brazzaville","dr congo",,,,"Africa"
"COD","Congo-Kinshasa",180,"COD","Congo, Democratic Republic of the","COD","D.R. of the Congo","ZAI","Congo Kinshasa",490,"Democratic Republic of the Congo","Dem. Rep. of the Congo","congo-kinshasa","congo",,,,"Africa"
"COD","Congo-Kinshasa",180,"COD","Congo, Democratic Republic of the","COD","D.R. of the Congo","ZAI","Congo Kinshasa",490,"Democratic Republic of the Congo","Democratic Republic of Congo","congo-kinshasa","congo",,,,"Africa"
"COD","Congo-Kinshasa",180,"COD","Congo, Democratic Republic of the","COD","D.R. of the Congo","ZAI","Congo Kinshasa",490,"Democratic Republic of the Congo","Democratic Republic of the Congo","congo-kinshasa","congo",,,,"Africa"
"COD","Congo-Kinshasa",180,"COD","Congo, Democratic Republic of the","COD","D.R. of the Congo","ZAI","Congo Kinshasa",490,"Democratic Republic of the Congo","Democratic Republic of the Congo (Kinshasa)","congo-kinshasa","congo",,,,"Africa"
"CRI","Costa Rica",188,"CRI","Costa Rica","CRI","Costa Rica","COS","Costa Rica",94,"Costa Rica","Costa Rica","costa rica","costa rica",,,,"North America"
"CIV","Cote d'Ivoire",384,"CIV","Côte d'Ivoire","CIV","Côte d'Ivoire","IVO","Cote D'Ivoire",437,"Ivory Coast","Cote d'Ivoire","cote d'ivoire","cote d'ivoire",,,,"Africa"
"CIV","Cote d'Ivoire",384,"CIV","Côte d'Ivoire","CIV","Côte d'Ivoire","IVO","Cote D'Ivoire",437,"Ivory Coast","côte d'ivoire","cote d'ivoire","ivory coast",,,,"Africa"
"HRV","Croatia",191,"HRV","Croatia","HRV","Croatia","CRO","Croatia",344,"Croatia","Croatia","croatia","croatia",,,,"Europe"
"CUB","Cuba",192,"CUB","Cuba","CUB","Cuba","CUB","Cuba",40,"Cuba",,"cuba","cuba",,,,"North America"
"CYN","Cyprus North",,,,,,,,,,"Northern Cyprus","cyprus","cyprus north",,,,"Asia"
"DJI","Djibouti",262,"DJI","Djibouti","DJI","Djibouti","DJI","Djibouti",522,"Djibouti","Djibouti","djibouti","djibouti",,,,"Africa"
"DMA","Dominica",212,"DMA","Dominica","DMA","Dominica",,,,,,"dominica",,,,,"North America"
"DOM","Dominican Republic",214,"DOM","Dominican Republic","DOM","Dominican Republic","DOM","Dominican Republic",42,"Dominican Republic","Dominican Republic","dominican republic","dominican republic",,,,"North America"
"ECU","Ecuador",218,"ECU","Ecuador","ECU","Ecuador","ECU","Ecuador",130,"Ecuador","Ecuador","ecuador","ecuador",,,,"South America"
"EGY","Egypt",818,"EGY","Egypt","EGY","Egypt","EGY","Egypt",651,"Egypt","Egypt","egypt","egypt",,,,"Africa"
"SLV","El Salvador",222,"SLV","El Salvador","SLV","El Salvador","SAL","El Salvador",92,"El Salvador","El Salvador","el salvador","el salvador",,,,"North America"
"GNQ","Equatorial Guinea",226,"GNQ","Equatorial Guinea","GNQ","Equatorial Guinea","EQG","Equatorial Guinea",411,"Equatorial Guinea",,"equatorial guinea","equatorial guinea",,,,"Africa"
"ERI","Eritrea",232,"ERI","Eritrea",,,"ERI","Eritrea",531,"Eritrea",,"eritrea","eritrea",,,,"Africa"
"SWZ","Eswatini",748,"SWZ","Eswatini","SWZ","Swaziland","SWA","Swaziland",572,"Swaziland","Swaziland","eswatini","eswatini",,,,"Africa"
"ETH","Ethiopia",231,"ETH","Ethiopia","ETH","Ethiopia","ETH","Ethiopia",530,"Ethiopia","Ethiopia","ethiopia","ethiopia",,,,"Africa"
"ETH","Ethiopia",231,"ETH","Ethiopia","ETH","Ethiopia","ETI","Ethiopia",530,"Ethiopia","Ethiopia","ethiopia","ethiopia",,,,"Africa"
"FJI","Fiji",242,"FJI","Fiji",,,"FJI","Fiji",,,,"fiji","fiji",,,,"Asia"
"MKD","North Macedonia",807,"MKD","North Macedonia","MKD","TFYR of Macedonia","MAC","Macedonia",343,"Macedonia","Macedonia (FYRO)","fyr of macedonia","former yugoslav republic macedonia",,,,"Europe"
"GAB","Gabon",266,"GAB","Gabon","GAB","Gabon","GAB","Gabon",481,"Gabon","Gabon","gabon","gabon",,,,"Africa"
"GMB","Gambia",270,"GMB","Gambia","GMB","Gambia","GAM","Gambia",420,"Gambia","Gambia (The)","gambia","gambia",,,,"Africa"
"GEO","Georgia",268,"GEO","Georgia","GEO","Georgia","GRG","Georgia",372,"Georgia","Georgia","georgia","georgia",,,,"Asia"
"GHA","Ghana",288,"GHA","Ghana","GHA","Ghana","GHA","Ghana",452,"Ghana","Ghana","ghana","ghana",,,,"Africa"
"GRD","Grenada",308,"GRD","Grenada",,,,,,,,"grenada","grenade",,,,"North America"
"GTM","Guatemala",320,"GTM","Guatemala","GTM","Guatemala","GUA","Guatemala",90,"Guatemala","Guatemala","guatemala","guatemala",,,,"North America"
"GIN","Guinea",324,"GIN","Guinea","GIN","Guinea","GUI","Guinea",438,"Guinea","Guinea","guinea","guinea",,,,"Africa"
"GNB","Guinea-Bissau",624,"GNB","Guinea-Bissau","GNB","Guinea-Bissau","GNB","Guinea-Bissau",404,"Guinea-Bissau",,"guinea-bissau","guinea-bissau",,,,"Africa"
"GNB","Guinea-Bissau",624,"GNB","Guinea-Bissau","GNB","Guinea-Bissau","GNB","Guinea-Bissau",404,"Guinea-Bissau",,"guinea-bissau","guinea bissau",,,,"Africa"
"GUY","Guyana",328,"GUY","Guyana",,,"GUY","Guyana",110,"Guyana","Guyana","guyana","guyana",,,,"South America"
"HTI","Haiti",332,"HTI","Haiti","HTI","Haiti","HAI","Haiti",41,"Haiti","Haiti","haiti",,,,,"North America"
"HND","Honduras",340,"HND","Honduras","HND","Honduras","HON","Honduras",91,"Honduras","Honduras","honduras","honduras",,,,"North America"
"HKG","Hong Kong",344,"HKG","Hong Kong","HKG","China, Hong Kong SAR",,,,,"Hong Kong","hong kong","hong-kong",,,,"Asia"
"HKG","Hong Kong",344,"HKG","Hong Kong","HKG","China, Hong Kong SAR",,,,,"Hong Kong","hong kong","hong kong",,,,"Asia"
"IND","India",356,"IND","India","IND","India","IND","India",750,"India","India","india","india",,,,"Asia"
"IDN","Indonesia",360,"IDN","Indonesia","IDN","Indonesia","INS","Indonesia",850,"Indonesia","Indonesia","indonesia","indonesia",,,,"Asia"
"IRN","Iran",364,"IRN","Iran (Islamic Republic of)","IRN","Iran (Islamic Republic of)","IRN","Iran",630,"Iran","Iran","iran","iran",,,,"Asia"
"IRN","Iran",364,"IRN","Iran (Islamic Republic of)","IRN","Iran (Islamic Republic of)","IRN","Iran",630,"Iran","Iran (Islamic Republic of)","iran","islamic republic iran",,,,"Asia"
"IRQ","Iraq",368,"IRQ","Iraq","IRQ","Iraq","IRQ","Iraq",645,"Iraq","Iraq","iraq","iraq",,,,"Asia"
"JAM","Jamaica",388,"JAM","Jamaica","JAM","Jamaica","JAM","Jamaica",,,"Jamaica","jamaica","jamaica",,,,"North America"
"JOR","Jordan",400,"JOR","Jordan","JOR","Jordan","JOR","Jordan",663,"Jordan","Jordan","jordan","jordan",,,,"Asia"
"KAZ","Kazakhstan",398,"KAZ","Kazakhstan","KAZ","Kazakhstan","KZK","Kazakhstan",705,"Kazakhstan","Kazakhstan","kazakhstan","kazakhstan",,,,"Asia"
"KEN","Kenya",404,"KEN","Kenya","KEN","Kenya","KEN","Kenya",501,"Kenya","Kenya","kenya","kenya",,,,"Africa"
"KIR","Kiribati",296,"KIR","Kiribati",,,,,,,,"kiribati",,,,,"Asia"
"PRK","Korea North",408,"PRK","Korea (Democratic People's Republic of)","PRK","D.P.R. of Korea","PRK","Korea North",731,"North Korea",,"korea north","democratic people's republic korea",,,,"Asia"
"KOR","Korea South",410,"KOR","Korea, Republic of","KOR","Republic of Korea","ROK","Korea South",732,"South Korea","Republic of Korea","korea south",,,,,"Asia"
"RKS","Kosovo",999,"RKS","Kosovo, Republic of",,,"KOS","Kosovo",,,"Kosovo","kosovo","kosovo",,,,"Europe"
"KWT","Kuwait",414,"KWT","Kuwait","KWT","Kuwait","KUW","Kuwait",,,"Kuwait","kuwait","kuwait",,,,"Asia"
"KGZ","Kyrgyzstan",417,"KGZ","Kyrgyzstan","KGZ","Kyrgyzstan","KYR","Kyrgyzstan",703,"Kyrgyzstan","Kyrgyzstan","kyrgyzstan","kyrgyzstan",,,,"Asia"
"LAO","Laos",418,"LAO","Lao People's Democratic Republic","LAO","Lao People's DR","LAO","Laos",812,"Laos","Lao People's Democratic Republic","laos","lao people's democratic republic",,,,"Asia"
"LAO","Laos",418,"LAO","Lao People's Democratic Republic","LAO","Lao People's DR","LAO","Laos",812,"Laos","Lao People's Democratic Republic","laos","laos",,,,"Asia"
"LBN","Lebanon",422,"LBN","Lebanon","LBN","Lebanon","LEB","Lebanon",660,"Lebanon","Lebanon","lebanon","lebanon",,,,"Asia"
"LSO","Lesotho",426,"LSO","Lesotho","LSO","Lesotho","LES","Lesotho",570,"Lesotho","Lesotho","lesotho","lesotho",,,,"Africa"
"LBR","Liberia",430,"LBR","Liberia","LBR","Liberia","LBR","Liberia",450,"Liberia","Liberia","liberia","liberia",,,,"Africa"
"LBY","Libya",434,"LBY","Libya","LBY","Libya","LIB","Libya",,,"Libya","libya","libya",,,,"Africa"
"LBY","Libya",434,"LBY","Libya","LBY","Libya","LIB","Libya",,,"State of Libya","libya","libyan arab jamahiriya",,,,"Africa"
"MAC","Macao",446,"MAC","Macao",,,,,,,,"macao",,,,,"Asia"
"MKD","North Macedonia",807,"MKD","North Macedonia","MKD","TFYR of Macedonia","MAC","Macedonia",343,"Macedonia","Macedonia (Republic of North)","macedonia","macedonia",,,,"Europe"
"MDG","Madagascar",450,"MDG","Madagascar","MDG","Madagascar","MAG","Madagascar",580,"Madagascar","Madagascar","madagascar","madagascar",,,,"Africa"
"MWI","Malawi",454,"MWI","Malawi","MWI","Malawi","MAW","Malawi",553,"Malawi","Malawi","malawi","malawi",,,,"Africa"
"MYS","Malaysia",458,"MYS","Malaysia","MYS","Malaysia","MAL","Malaysia",820,"Malaysia","Malaysia","malaysia","malaysia",,,,"Asia"
"MDV","Maldives",462,"MDV","Maldives",,,,,,,,"maldives","maldives",,,,"Asia"
"MLI","Mali",466,"MLI","Mali","MLI","Mali","MLI","Mali",432,"Mali","Mali","mali","mali",,,,"Africa"
"MLT","Malta",470,"MLT","Malta","MLT","Malta",,,,,"Malta","malta","malta",,,,"Europe"
"MRT","Mauritania",478,"MRT","Mauritania","MRT","Mauritania","MAA","Mauritania",435,"Mauritania","Mauritania","mauritania","mauritania",,,,"Africa"
"MUS","Mauritius",480,"MUS","Mauritius","MUS","Mauritius","MAS","Mauritius",,,"Mauritius","mauritius","mauritius",,,,"Africa"
"MDA","Moldova",498,"MDA","Moldova, Republic of","MDA","Republic of Moldova","MLD","Moldova",359,"Moldova","Moldova (Republic of)","moldova","moldova",,,,"Europe"
"MDA","Moldova",498,"MDA","Moldova, Republic of","MDA","Republic of Moldova","MLD","Moldova",359,"Moldova","Republic of Moldova","moldova","moldova",,,,"Europe"
"MNG","Mongolia",496,"MNG","Mongolia","MNG","Mongolia","MON","Mongolia",712,"Mongolia","Mongolia","mongolia","mongolia",,,,"Asia"
"MNE","Montenegro",499,"MNE","Montenegro","MNE","Montenegro","MNT","Montenegro",,,"Montenegro","montenegro","montenegro",,,,"Europe"
"MAR","Morocco",504,"MAR","Morocco","MAR","Morocco","MOR","Morocco",600,"Morocco","Morocco","morocco","morocco",,,,"Africa"
"MOZ","Mozambique",508,"MOZ","Mozambique","MOZ","Mozambique","MZM","Mozambique",541,"Mozambique","Mozambique","mozambique","mozambique",,,,"Africa"
"MMR","Myanmar",104,"MMR","Myanmar","MMR","Myanmar","MYA","Myanmar (Burma)",775,"Myanmar","Myanmar","myanmar","myanmar",,,,"Asia"
"MMR","Myanmar",104,"MMR","Myanmar","MMR","Myanmar","MYA","Myanmar (Burma)",775,"Myanmar","Myanmar","myanmar","burma",,,,"Asia"
"NAM","Namibia",516,"NAM","Namibia","NAM","Namibia","NAM","Namibia",565,"Namibia","Namibia","namibia","namibia",,,,"Africa"
"NPL","Nepal",524,"NPL","Nepal","NPL","Nepal","NEP","Nepal",790,"Nepal","Nepal","nepal","nepal",,,,"Asia"
"NIC","Nicaragua",558,"NIC","Nicaragua","NIC","Nicaragua","NIC","Nicaragua",93,"Nicaragua","Nicaragua","nicaragua","nicaragua",,,,"North America"
"NER","Niger",562,"NER","Niger","NER","Niger","NIR","Niger",436,"Niger","Niger","niger","niger",,,,"Africa"
"NGA","Nigeria",566,"NGA","Nigeria","NGA","Nigeria","NIG","Nigeria",475,"Nigeria","Nigeria","nigeria","nigeria",,,,"Africa"
"MKD","North Macedonia",807,"MKD","North Macedonia","MKD","TFYR of Macedonia","MAC","Macedonia",343,"Macedonia","The Former Yugoslav Republic of Macedonia","north macedonia","north macedonia",,,,"Europe"
"OMN","Oman",512,"OMN","Oman","OMN","Oman","OMA","Oman",,,"Oman","oman","oman",,,,"Asia"
"PAK","Pakistan",586,"PAK","Pakistan","PAK","Pakistan","PAK","Pakistan",770,"Pakistan","Pakistan","pakistan","pakistan",,,,"Asia"
"PAK","Pakistan",586,"PAK","Pakistan","PAK","Pakistan","PKS","Pakistan",770,"Pakistan","Pakistan","pakistan",,,,,"Asia"
"PSE","Palestine",275,"PSE","Palestine, State of","PSE","State of Palestine",,,,,"Palestine (State of)","palestine","palestine",,,,"Asia"
"PSE","Palestine",275,"PSE","Palestine, State of","PSE","State of Palestine",,,,,"Palestinian Territories","palestine","palestinian authority",,,,"Asia"
"PSE","Palestine",275,"PSE","Palestine, State of","PSE","State of Palestine",,,,,"Palestinian Territory","palestine","palestinian national authority",,,,"Asia"
"PSE","Palestine",275,"PSE","Palestine, State of","PSE","State of Palestine",,,,,"State of Palestine","palestine","palestinian territories",,,,"Asia"
"PAN","Panama",591,"PAN","Panama","PAN","Panama","PAN","Panama",95,"Panama","Panama","panama","panama",,,,"North America"
"PNG","Papua New Guinea",598,"PNG","Papua New Guinea",,,"PNG","Papua New Guinea",910,"Papua New Guinea",,"papua new guinea","papua new guinea",,,,"Asia"
"PRY","Paraguay",600,"PRY","Paraguay","PRY","Paraguay","PAR","Paraguay",150,"Paraguay","Paraguay","paraguay","paraguay",,,,"South America"
"PER","Peru",604,"PER","Peru","PER","Peru","PER","Peru",135,"Peru","Peru","peru","peru",,,,"South America"
"PHL","Philippines",608,"PHL","Philippines","PHL","Philippines","PHI","Philippines",840,"Philippines","Philippines","philippines","philippines",,,,"Asia"
"PRI","Puerto Rico",630,"PRI","Puerto Rico","PRI","Puerto Rico",,,,,"Puerto Rico","puerto rico",,,,,"South America"
"QAT","Qatar",634,"QAT","Qatar","QAT","Qatar","QAT","Qatar",694,"Qatar","Qatar","qatar","qatar",,,,"Asia"
"ROU","Romania",642,"ROU","Romania","ROU","Romania","RUM","Romania",360,"Romania","Romania","romania","romania",,,,"Europe"
"RUS","Russia",643,"RUS","Russian Federation","RUS","Russian Federation","RUS","Russia",365,"Russia","Russia","russia","russia",,,,"Europe"
"RUS","Russia",643,"RUS","Russian Federation","RUS","Russian Federation","RUS","Russia",365,"Russia","Russian Federation","russia","russian federation",,,,"Europe"
"RWA","Rwanda",646,"RWA","Rwanda","RWA","Rwanda","RWA","Rwanda",517,"Rwanda","Rwanda","rwanda","rwanda",,,,"Africa"
